property_value_id,property_type_cd,property_id,property_value_desc,firm_id,active_flg,created_program_nm,created_user_nm,created_ts,modified_program_nm,modified_user_nm,modified_ts
1703,FS,35,NO,1,t,,,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
1804,FS,37,BFR_1MNTH_END,1,t,,,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
2077,FS,42,CM07,1,t,,,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
3502,FS,72,YES_SPL,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
4602,FS,92,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
101,FS,3,HIGH,1,t,,,2017-02-11 12:36:33.893584,SEED,UPGRADE,2017-02-11 12:36:33.893584
2301,FS,47,48019P102,1,t,,,2017-02-11 12:36:33.893584,SEED,UPGRADE,2017-02-11 12:36:33.893584
4651,FS,93,YES,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5751,FS,115,ON,1,t,SEED,UPGRADE,2018-09-05 04:18:20.336046,,,
256,FS,6,YTD,1,t,,,2017-02-11 12:36:33.8938,SEED,UPGRADE,2017-02-11 12:36:33.8938
1452,FS,30,PRE_UPD_DT,1,t,,,2017-02-11 12:36:33.8938,SEED,UPGRADE,2017-02-11 12:36:33.8938
251,FS,6,ICP,1,t,,,2017-02-11 12:36:33.893768,SEED,UPGRADE,2017-02-11 12:36:33.893768
2067,FS,42,CQ1,1,t,,,2017-02-11 12:36:33.893768,SEED,UPGRADE,2017-02-11 12:36:33.893768
352,FS,8,0.1,1,f,,,2017-02-11 12:36:33.893768,From UI,UI,2017-04-11 18:32:44.07972
352,FS,8,0.04,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
1,FS,1,MANUAL,1,t,,,2017-02-11 12:36:33.893779,SEED,UPGRADE,2017-02-11 12:36:33.893779
1402,FS,29,UPD_DT,1,t,,,2017-02-11 12:36:33.893779,SEED,UPGRADE,2017-02-11 12:36:33.893779
2073,FS,42,CM03,1,t,,,2017-02-11 12:36:33.893779,SEED,UPGRADE,2017-02-11 12:36:33.893779
2201,FS,45,100,1,t,,,2017-02-11 12:36:33.893779,SEED,UPGRADE,2017-02-11 12:36:33.893779
4502,FS,90,NO,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
5253,FS,105,TY1,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
262,FS,6,TM6,1,t,,,2017-02-11 12:36:33.893808,SEED,UPGRADE,2017-02-11 12:36:33.893808
3651,FS,73,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893808,SEED,UPGRADE,2017-02-11 12:36:33.893808
1401,FS,29,OFF,1,t,,,2017-02-11 12:36:33.893607,SEED,UPGRADE,2017-02-11 12:36:33.893607
2074,FS,42,CM04,1,t,,,2017-02-11 12:36:33.893607,SEED,UPGRADE,2017-02-11 12:36:33.893607
3051,FS,62,60,1,t,,,2017-02-11 12:36:33.893607,SEED,UPGRADE,2017-02-11 12:36:33.893607
301,FS,7,SP500,1,t,,,2017-02-11 12:36:33.894441,SEED,UPGRADE,2017-02-11 12:36:33.894441
1652,FS,34,NON_CUST,1,t,,,2017-02-11 12:36:33.894441,SEED,UPGRADE,2017-02-11 12:36:33.894441
3302,FS,68,0,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894441,SEED,UPGRADE,2017-02-11 12:36:33.894441
2,FS,1,HPA,1,t,,,2017-02-11 12:36:33.893889,SEED,UPGRADE,2017-02-11 12:36:33.893889
851,FS,18,25,1,t,,,2017-02-11 12:36:33.893889,SEED,UPGRADE,2017-02-11 12:36:33.893889
2501,FS,51,YES,1,t,,,2017-02-11 12:36:33.893889,SEED,UPGRADE,2017-02-11 12:36:33.893889
3003,FS,61,CTERA,1,t,,,2017-02-11 12:36:33.893889,SEED,UPGRADE,2017-02-11 12:36:33.893889
5401,FS,108,YES,1,t,SEED,UPGRADE,2018-03-10 21:29:47.099331,,,
1604,FS,33,QRTR_END,1,t,,,2017-02-11 12:36:33.893808,SEED,UPGRADE,2017-02-11 12:36:33.893808
1951,FS,40,ON,1,t,,,2017-02-11 12:36:33.893808,SEED,UPGRADE,2017-02-11 12:36:33.893808
2058,FS,42,TY1,1,t,,,2017-02-11 12:36:33.893808,SEED,UPGRADE,2017-02-11 12:36:33.893808
2752,FS,56,OFF,1,t,,,2017-02-11 12:36:33.893808,SEED,UPGRADE,2017-02-11 12:36:33.893808
5652,FS,113,OFF,1,t,SEED,UPGRADE,2018-06-21 02:57:45.054161,,,
1303,FS,27,MNTH_END,1,t,,,2017-02-11 12:36:33.893811,SEED,UPGRADE,2017-02-11 12:36:33.893811
2802,FS,57,NO,1,t,,,2017-02-11 12:36:33.893811,SEED,UPGRADE,2017-02-11 12:36:33.893811
3503,FS,72,NO,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893811,SEED,UPGRADE,2017-02-11 12:36:33.893811
4901,FS,98,3~2016-01-31,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
1702,FS,35,YES_SPL,1,t,,,2017-02-11 12:36:33.893544,SEED,UPGRADE,2017-02-11 12:36:33.893544
2056,FS,42,TM6,1,t,,,2017-02-11 12:36:33.893544,SEED,UPGRADE,2017-02-11 12:36:33.893544
3252,FS,67,OFF,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893544,SEED,UPGRADE,2017-02-11 12:36:33.893544
6001,FS,102,YES,1,t,SEED,UPGRADE,2017-08-19 21:21:17.270843,,,
5260,FS,105,CQ3,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
