property_value_id,property_type_cd,property_id,property_value_desc,firm_id,active_flg,created_program_nm,created_user_nm,created_ts,modified_program_nm,modified_user_nm,modified_ts
3201,FS,66,ON,1,t,SEED,UPGRADE,2017-02-11 12:36:33.89342,SEED,UPGRADE,2017-02-11 12:36:33.89342
402,FS,9,0.25,1,f,,,2017-02-11 12:36:33.89342,From UI,UI,2017-04-11 18:32:44.07972
402,FS,9,0.08,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
5257,FS,105,QTD,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
255,FS,6,TY10,1,t,,,2017-02-11 12:36:33.894039,SEED,UPGRADE,2017-02-11 12:36:33.894039
2151,FS,44,0.35,1,t,,,2017-02-11 12:36:33.894039,SEED,UPGRADE,2017-02-11 12:36:33.894039
2801,FS,57,YES,1,t,,,2017-02-11 12:36:33.894039,SEED,UPGRADE,2017-02-11 12:36:33.894039
2902,FS,59,NO,1,t,,,2017-02-11 12:36:33.894039,SEED,UPGRADE,2017-02-11 12:36:33.894039
260,FS,6,TM1,1,t,,,2017-02-11 12:36:33.89341,SEED,UPGRADE,2017-02-11 12:36:33.89341
452,FS,10,0.1,1,t,,,2017-02-11 12:36:33.89341,SEED,UPGRADE,2017-02-11 12:36:33.89341
1304,FS,27,BFR_1MNTH_END,1,t,,,2017-02-11 12:36:33.89341,SEED,UPGRADE,2017-02-11 12:36:33.89341
2055,FS,42,TM3,1,t,,,2017-02-11 12:36:33.89341,SEED,UPGRADE,2017-02-11 12:36:33.89341
6002,FS,102,NO,1,t,SEED,UPGRADE,2017-08-19 21:21:17.270843,,,
5251,FS,105,ICP,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
2071,FS,42,CM01,1,t,,,2017-02-11 12:36:33.893455,SEED,UPGRADE,2017-02-11 12:36:33.893455
3701,FS,74,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893455,SEED,UPGRADE,2017-02-11 12:36:33.893455
1251,FS,26,OFF,1,t,,,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
1352,FS,28,ON,1,t,,,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
2002,FS,41,f,1,t,,,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
