property_id,property_type_cd,property_desc,firm_id,active_flg,created_program,created_user,created_ts,modified_program,modified_user,modified_ts
80,FS,POS_ROR_PERIOD_TYPES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893811,,,
48,FS,MA_MONEY_MARKET_CUSIP_2,1,t,MANUAL,VINOD,2017-02-11 12:36:33.893544,SEED,MA,2017-02-11 12:36:33.893544
112,FS,SNAP_CALANDER_END_DT,1,t,SEED,UPGRADE,2018-06-21 02:57:45.054161,,,
11,FS,Base Currency,1,t,,,2017-02-11 12:36:33.893619,SEED,UPGRADE,2017-02-11 12:36:33.893619
75,FS,SNAP_PSDT_MIN_TRAN,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893619,,,
43,FS,SLV_OUTLIER_THRESHOLD_WARN,1,t,MANUAL,PRADEEPG,2017-02-11 12:36:33.89444,SEED,MA,2017-02-11 12:36:33.89444
107,FS,ALLOC_RUN_TIME_MEM,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
27,FS,EX_PTYP_WS_CUSIP_1,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.8938,,,
91,FS,TYPE_9_EXCLUDE,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
59,FS,ICP_BMV_EOD_PSD_FLG,1,t,MANUAL,ROHINIK,2017-02-11 12:36:33.893768,,,
17,FS,SOOB_THRESHOLD,1,t,MANUAL,ANAVEEN,2017-02-11 12:36:33.894447,SEED,UPGRADE,2017-02-11 12:36:33.894447
81,FS,EXCL_LGRD_IN_ROR_FLG,1,t,SEED,UPGRADE,2017-02-11 12:36:33.894447,,,
49,FS,MA_MONEY_MARKET_CUSIP_3,1,t,MANUAL,VINOD,2017-02-11 12:36:33.893584,SEED,MA,2017-02-11 12:36:33.893584
113,FS,PRICE_STOP_FLG,1,t,SEED,UPGRADE,2018-06-21 02:57:45.054161,,,
1,FS,Data Source,1,t,,,2017-02-11 12:36:33.893779,SEED,UPGRADE,2017-02-11 12:36:33.893779
65,FS,REJECT_PRICE_BACK_DAYS,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893779,,,
33,FS,MIN_MV_TSHLD_FREQ,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893808,,,
97,FS,SOR_SYS_FIRM_PSD_FLG,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
24,FS,PTYP_WS_CUSIP_5,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893616,,,
88,FS,PERF_VIEW_SKIP_GP_CALCS,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893616,,,
56,FS,SNAP_PSDT_EOM,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.894428,,,
5,FS,Vertical-Horizontal,1,t,,,2017-02-11 12:36:33.894462,SEED,UPGRADE,2017-02-11 12:36:33.894462
